City_ID,City,Country,Max Temp,City Description,Lat,Lng,Hotel Name
7,Lebu,CL,15.89,clear sky,-37.6167,-73.65,Hostal Las Lilas
10,Port Alfred,ZA,19.44,broken clouds,-33.5906,26.891,The Halyards Hotel
14,Bluff,NZ,14.64,overcast clouds,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
17,Kushima,JP,12.0,scattered clouds,31.4583,131.2333,Hanaoka
25,Marsabit,KE,18.25,scattered clouds,2.3284,37.9899,Chicho Hotel
26,Shimoda,JP,10.0,broken clouds,34.6667,138.95,Shimoda Tokyu Hotel
33,Hermanus,ZA,17.78,scattered clouds,-34.4187,19.2345,Misty Waves Boutique Hotel
41,Cape Town,ZA,19.44,clear sky,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
42,Kapaa,US,20.0,broken clouds,22.0752,-159.319,Sheraton Kauai Resort at Coconut Beach
43,Dali,CN,13.48,few clouds,25.7,100.1833,Dali Travelling With Hostel
46,Castro,BR,17.56,clear sky,-24.7911,-50.0119,CHACARA BAILLY
52,Ribeira Grande,PT,12.9,scattered clouds,38.5167,-28.7,Quinta da Meia Eira
54,Kaitangata,NZ,15.56,broken clouds,-46.2817,169.8464,Kaitangata Motor Camp
57,Illapel,CL,19.21,clear sky,-31.6308,-71.1653,Hotel Londres
58,Shenjiamen,CN,11.13,overcast clouds,29.9576,122.29799999999999,Jinjiang Inn Zhoushan Putuo Shenjiamen
60,Bredasdorp,ZA,16.0,clear sky,-34.5322,20.0403,Bredasdorp Country Manor
73,Butembo,CD,15.65,overcast clouds,0.15,29.2833,Hotel Butembo
75,Mangrol,IN,18.88,clear sky,21.1167,70.1167,Hotel The Royal Honours
79,Pallisa,UG,19.96,scattered clouds,1.145,33.7094,RNM HOTEL
82,Chuy,UY,18.69,overcast clouds,-33.6971,-53.4616,Nuevo Hotel Plaza
93,Lagoa,PT,12.31,broken clouds,39.05,-27.9833,Casa Das Faias
98,Sawai Madhopur,IN,12.8,clear sky,25.9833,76.3667,Vivanta Sawai Madhopur Lodge
103,Oriental,MX,13.75,clear sky,19.3667,-97.6167,HOTEL CASA DE PIEDRA
111,Denham Springs,US,18.89,overcast clouds,30.4869,-90.9562,Candlewood Suites Denham Springs
119,Marsa Matruh,EG,15.0,broken clouds,31.3525,27.2453,Beau Site
124,Ponta Delgada,PT,12.0,scattered clouds,37.7333,-25.6667,Vila Nova Hotel
127,Rabo De Peixe,PT,12.0,scattered clouds,37.8,-25.5833,Quinta das Giestas
129,Mizdah,LY,11.16,clear sky,31.4451,12.9801,محمدالمبروك الاريقط
136,Asopos,GR,13.13,clear sky,36.7333,22.8667,Rachi Boza
139,Tuatapere,NZ,18.82,overcast clouds,-46.1333,167.6833,Ron and Tony's Bed & Breakfast
148,Yokadouma,CM,19.34,broken clouds,3.5167,15.05,Hôtel De Ville De Yokadouma
156,Sierra Vista,US,11.67,clear sky,31.5545,-110.3037,Gateway Studio Suites
160,Esperance,AU,17.0,overcast clouds,-33.8667,121.9,Hospitality Esperance
168,Ponta Do Sol,PT,10.0,overcast clouds,32.6667,-17.1,Hotel do Campo
172,Khawhai,IN,16.53,clear sky,23.3667,93.1167,Homestay Khawhai
173,Arona,ES,16.0,few clouds,28.0996,-16.680999999999997,Paradise Court
178,Aswan,EG,13.25,clear sky,24.0934,32.907,Nuba Nile
179,Guerrero Negro,MX,15.8,overcast clouds,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
