City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,City Description
0,Jamestown,US,42.097,-79.2353,2.78,35,90,5.66,overcast clouds
1,Harper,LR,4.375,-7.7169,25.74,90,69,3.16,broken clouds
2,Tromso,NO,69.6496,18.957,-1.0,86,75,6.17,light snow
3,Kamaishi,JP,39.2667,141.8833,0.0,59,40,4.63,snow
4,Atuona,PF,-9.8,-139.0333,26.06,72,3,4.8,clear sky
5,Ware,GB,51.8126,-0.0283,7.0,100,90,3.09,overcast clouds
6,Gigmoto,PH,13.7796,124.39,26.23,84,92,6.67,moderate rain
7,Lebu,CL,-37.6167,-73.65,15.89,79,0,1.55,clear sky
8,Mataura,NZ,-46.1927,168.8643,23.74,38,100,1.29,overcast clouds
9,Talnakh,RU,69.4865,88.3972,-30.39,86,100,0.38,overcast clouds
10,Port Alfred,ZA,-33.5906,26.891,19.44,88,57,0.89,broken clouds
11,Uruzgan,AF,32.8333,66.0,1.81,68,0,3.37,clear sky
12,Ushuaia,AR,-54.8,-68.3,7.0,81,40,13.38,scattered clouds
13,San Patricio,US,28.017,-97.5169,21.0,83,1,4.63,clear sky
14,Bluff,NZ,-46.6,168.3333,14.64,73,100,5.25,overcast clouds
15,Deep River,CA,46.1001,-77.4995,-3.0,68,1,1.03,clear sky
16,Yellowknife,CA,62.456,-114.3525,-35.0,75,1,3.6,clear sky
17,Kushima,JP,31.4583,131.2333,12.0,47,40,2.57,scattered clouds
18,Tiksi,RU,71.6872,128.8694,-27.69,89,100,3.3,overcast clouds
19,Rikitea,PF,-23.1203,-134.9692,25.69,72,100,5.68,light rain
20,Albany,US,42.6001,-73.9662,-2.78,63,0,0.95,clear sky
21,Busselton,AU,-33.65,115.3333,20.56,37,1,2.24,clear sky
22,Avarua,CK,-21.2078,-159.775,29.0,65,97,2.06,overcast clouds
23,Lakes Entrance,AU,-37.8811,147.981,28.33,56,75,0.45,broken clouds
24,Thompson,CA,55.7435,-97.8558,-23.0,70,90,4.12,light snow
25,Marsabit,KE,2.3284,37.9899,18.25,58,35,6.07,scattered clouds
26,Shimoda,JP,34.6667,138.95,10.0,57,75,2.57,broken clouds
27,Salacgriva,LV,57.7536,24.3581,-10.56,91,99,0.89,overcast clouds
28,Xuanhua,CN,40.6103,115.0447,2.87,62,0,4.49,clear sky
