City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Atuona,PF,2021-02-04 03:32:59,-9.8,-139.0333,78.49,67,5,9.48
1,Leningradskiy,RU,2021-02-04 03:32:24,69.3833,178.4167,-26.52,85,11,6.85
2,Rikitea,PF,2021-02-04 03:37:16,-23.1203,-134.9692,78.06,71,0,12.66
3,Mar Del Plata,AR,2021-02-04 03:37:16,-38.0023,-57.5575,66.2,77,20,10.36
4,Jamestown,US,2021-02-04 03:37:16,42.097,-79.2353,21.99,86,1,16.11
5,Ancud,CL,2021-02-04 03:37:16,-41.8697,-73.8203,59.0,88,0,5.75
6,Cape Town,ZA,2021-02-04 03:37:16,-33.9258,18.4232,68.0,82,20,14.97
7,Severo-Kurilsk,RU,2021-02-04 03:37:16,50.6789,156.125,10.99,92,100,31.43
8,Tiksi,RU,2021-02-04 03:37:16,71.6872,128.8694,-24.9,86,99,2.26
9,Kapaa,US,2021-02-04 03:36:27,22.0752,-159.319,73.4,53,1,9.22
10,Sinjai,ID,2021-02-04 03:37:16,-5.1241,120.253,82.17,74,100,0.54
11,Victoria,HK,2021-02-04 03:37:15,22.2855,114.1577,70.0,54,0,1.99
12,Ushuaia,AR,2021-02-04 03:32:45,-54.8,-68.3,48.2,87,75,6.91
13,Quito,EC,2021-02-04 03:36:01,-0.2299,-78.5249,59.0,88,90,4.61
14,Westport,US,2021-02-04 03:32:22,41.1415,-73.3579,30.99,50,93,10.31
15,Busselton,AU,2021-02-04 03:37:17,-33.65,115.3333,72.0,43,0,3.0
16,Cooma,AU,2021-02-04 03:37:17,-36.2333,149.1333,75.2,38,75,12.66
17,Kruisfontein,ZA,2021-02-04 03:37:17,-34.0033,24.7314,66.99,89,42,1.01
18,Faya,SA,2021-02-04 03:33:35,18.3851,42.4509,55.4,35,0,2.35
19,Bandarbeyla,SO,2021-02-04 03:37:17,9.4942,50.8122,71.37,72,4,14.5
20,Saint-Louis,SN,2021-02-04 03:37:18,16.3333,-15.0,75.2,31,0,2.3
21,Castro,BR,2021-02-04 03:37:18,-24.7911,-50.0119,68.31,91,100,2.46
22,Cabo San Lucas,MX,2021-02-04 03:32:20,22.8909,-109.9124,69.01,77,20,3.87
23,Cayambe,EC,2021-02-04 03:37:18,0.05,-78.1333,59.0,88,90,4.61
24,Altay,CN,2021-02-04 03:37:18,47.8667,88.1167,19.04,92,100,1.66
25,Nabire,ID,2021-02-04 03:37:18,-3.3667,135.4833,85.66,65,98,1.97
26,Berlevag,NO,2021-02-04 03:37:18,70.8578,29.0864,29.5,93,100,20.42
27,Chuy,UY,2021-02-04 03:37:18,-33.6971,-53.4616,67.71,93,98,16.24
28,Thompson,CA,2021-02-04 03:37:18,55.7435,-97.8558,-4.0,77,90,16.11
29,Bluff,NZ,2021-02-04 03:37:19,-46.6,168.3333,57.09,61,0,24.05
30,Hofn,IS,2021-02-04 03:33:05,64.2539,-15.2082,32.11,91,38,14.25
31,Mataura,NZ,2021-02-04 03:37:19,-46.1927,168.8643,64.33,38,0,8.48
32,Vardo,NO,2021-02-04 03:37:19,70.3705,31.1107,24.8,74,40,16.11
33,Cruzeiro Do Sul,BR,2021-02-04 03:37:19,-29.5128,-51.9853,79.0,93,100,1.01
34,East London,ZA,2021-02-04 03:37:19,-33.0153,27.9116,69.8,88,20,8.05
35,Vao,NC,2021-02-04 03:37:19,-22.6667,167.4833,78.87,87,14,15.61
36,Gobo,JP,2021-02-04 03:37:19,33.8833,135.15,51.8,53,75,4.61
37,Hay River,CA,2021-02-04 03:37:20,60.8156,-115.7999,-13.0,77,100,5.75
38,Kieta,PG,2021-02-04 03:37:20,-6.2167,155.6333,83.98,76,64,10.58
39,Airai,TL,2021-02-04 03:37:20,-8.9266,125.4092,61.92,100,100,3.49
40,Maniitsoq,GL,2021-02-04 03:37:20,65.4167,-52.9,2.07,73,9,9.06
41,Paamiut,GL,2021-02-04 03:37:20,61.994,-49.6678,10.62,72,0,5.99
42,Elko,US,2021-02-04 03:37:20,41.0002,-115.5012,30.2,80,40,6.91
43,Port Alfred,ZA,2021-02-04 03:37:20,-33.5906,26.891,69.01,91,46,1.99
44,Coihaique,CL,2021-02-04 03:37:21,-45.5752,-72.0662,66.2,68,0,6.91
45,Constitucion,CL,2021-02-04 03:37:21,-35.3333,-72.4167,64.33,59,0,8.86
